Country,Market Year,Calendar Year,Month,Area Harvested,Area Planted,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,Feed Waste Dom. Cons.,Food Use Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply,Yield
Italy,1986,2006,6,104.0,104.0,0.0,0.0,0.0,4.0,18.0,289.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,47.0,255.0,302.0,292.0,302.0,2.4519
Italy,1987,2006,6,200.0,200.0,10.0,0.0,0.0,0.0,60.0,457.0,30.0,0.0,4.0,0.0,0.0,21.0,0.0,31.0,450.0,491.0,461.0,491.0,2.25
Argentina,1972,2006,6,1338.0,0.0,162.0,0.0,0.0,0.0,0.0,965.0,55.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,1042.0,987.0,1042.0,0.6577
Argentina,1973,2006,6,1190.0,0.0,55.0,0.0,0.0,0.0,0.0,974.0,29.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,1025.0,996.0,1025.0,0.8151
Argentina,1974,2006,6,1005.0,0.0,29.0,0.0,0.0,0.0,0.0,604.0,136.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0,761.0,625.0,761.0,0.7284
Argentina,1975,2006,6,1258.0,0.0,136.0,0.0,0.0,0.0,0.0,944.0,252.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.0,1221.0,969.0,1221.0,0.8625
Argentina,1976,2013,7,1227.0,0.0,252.0,0.0,11.0,0.0,0.0,1088.0,38.0,15.0,0.0,0.0,11.0,0.0,0.0,0.0,900.0,1152.0,1103.0,1152.0,0.7335
Argentina,1977,2007,10,2000.0,0.0,38.0,0.0,200.0,0.0,0.0,1167.0,247.0,35.0,0.0,0.0,189.0,0.0,0.0,0.0,1600.0,1638.0,1202.0,1638.0,0.8
Argentina,1978,2007,10,1557.0,0.0,247.0,0.0,2.0,0.0,0.0,1493.0,157.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,1430.0,1677.0,1518.0,1677.0,0.9184
Argentina,1979,2007,10,1855.0,0.0,157.0,0.0,2.0,0.0,0.0,1626.0,155.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,1650.0,1807.0,1651.0,1807.0,0.8895
Argentina,1980,2007,10,1280.0,1300.0,155.0,0.0,24.0,0.0,0.0,1201.0,170.0,19.0,0.0,0.0,25.0,0.0,0.0,0.0,1260.0,1415.0,1220.0,1415.0,0.9844
Argentina,1981,2007,10,1673.0,1673.0,170.0,0.0,22.0,0.0,0.0,1845.0,266.0,20.0,0.0,0.0,19.0,0.0,0.0,0.0,1980.0,2150.0,1865.0,2150.0,1.1835
Argentina,1982,2007,10,1902.0,1930.0,266.0,0.0,3.0,0.0,0.0,2319.0,312.0,32.0,0.0,0.0,3.0,0.0,0.0,0.0,2400.0,2666.0,2351.0,2666.0,1.2618
Argentina,1983,2007,10,1989.0,2131.0,312.0,0.0,146.0,0.0,0.0,2054.0,280.0,32.0,0.0,0.0,146.0,0.0,0.0,0.0,2200.0,2512.0,2086.0,2512.0,1.1061
Argentina,1984,2013,7,2360.0,2380.0,280.0,0.0,379.0,0.0,0.0,3136.0,117.0,38.0,0.0,0.0,389.0,0.0,0.0,0.0,3400.0,3680.0,3174.0,3680.0,1.4407
Argentina,1985,2013,7,3046.0,3050.0,117.0,0.0,524.0,0.0,0.0,3484.0,206.0,10.0,0.0,273.0,517.0,0.0,0.0,0.0,4100.0,4217.0,3494.0,4217.0,1.346
Argentina,1986,2013,7,1735.0,1750.0,206.0,0.0,48.0,0.0,0.0,2253.0,101.0,5.0,0.0,3.0,47.0,0.0,0.0,0.0,2200.0,2406.0,2258.0,2406.0,1.268
Argentina,1987,2013,7,2032.0,2050.0,101.0,0.0,55.0,0.0,0.0,2549.0,405.0,10.0,0.0,31.0,52.0,0.0,0.0,0.0,2915.0,3016.0,2559.0,3016.0,1.4345
Argentina,2017,2023,7,1678.0,1710.0,1097.0,10.0,54.0,0.0,1.0,3283.0,1164.0,125.0,0.0,15.0,63.0,0.0,0.0,0.0,3538.0,4635.0,3408.0,4635.0,2.1085
Argentina,2018,2023,7,1761.0,1800.0,1164.0,10.0,149.0,0.0,0.0,3380.0,1042.0,125.0,0.0,100.0,148.0,0.0,0.0,1.0,3530.0,4695.0,3505.0,4695.0,2.0045
Argentina,2019,2023,7,1382.0,1400.0,1042.0,10.0,211.0,0.0,0.0,2750.0,837.0,100.0,0.0,25.0,212.0,0.0,0.0,0.0,2857.0,3899.0,2850.0,3899.0,2.0673
Argentina,2020,2023,7,1628.0,1650.0,837.0,10.0,185.0,0.0,0.0,3137.0,671.0,100.0,0.0,25.0,176.0,0.0,0.0,0.0,3247.0,4084.0,3237.0,4084.0,1.9945
Argentina,2021,2023,7,1960.0,1960.0,671.0,10.0,165.0,0.0,0.0,3550.0,715.0,300.0,0.0,25.0,156.0,0.0,0.0,0.0,4050.0,4721.0,3850.0,4721.0,2.0663
Argentina,2022,2023,10,2453.0,2460.0,715.0,10.0,100.0,0.0,0.0,4000.0,1089.0,550.0,0.0,25.0,96.0,0.0,0.0,1.0,5019.0,5735.0,4550.0,5735.0,2.0461
Australia,1972,2006,6,242.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,102.0,102.0,0.4215
Australia,1973,2006,6,151.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,84.0,84.0,0.5563
Australia,1974,2006,6,210.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,113.0,113.0,113.0,0.5381
Australia,1975,2006,6,137.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,80.0,80.0,0.5839
Australia,1976,2006,6,135.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,61.0,75.0,0.5556
Australia,1977,2006,6,220.0,0.0,14.0,0.0,0.0,0.0,0.0,130.0,33.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,172.0,139.0,172.0,0.7182
Australia,1978,2006,6,261.0,0.0,33.0,0.0,52.0,0.0,0.0,138.0,20.0,9.0,0.0,0.0,52.0,0.0,0.0,0.0,186.0,219.0,147.0,219.0,0.7126
Australia,1979,2006,6,221.0,0.0,20.0,0.0,93.0,0.0,0.0,55.0,6.0,8.0,0.0,0.0,93.0,0.0,0.0,0.0,142.0,162.0,63.0,162.0,0.6425
Australia,1980,2006,6,198.0,0.0,6.0,0.0,0.0,0.0,0.0,115.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,145.0,121.0,145.0,0.702
Australia,1981,2006,6,178.0,0.0,24.0,0.0,22.0,0.0,0.0,98.0,10.0,9.0,0.0,0.0,22.0,0.0,0.0,0.0,115.0,139.0,107.0,139.0,0.6461
Australia,1982,2006,6,176.0,0.0,10.0,0.0,0.0,0.0,0.0,97.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,114.0,109.0,114.0,0.5909
Australia,1983,2006,6,234.0,0.0,5.0,0.0,27.0,0.0,0.0,142.0,5.0,2.0,0.0,0.0,26.0,0.0,0.0,0.0,170.0,175.0,144.0,175.0,0.7265
Australia,1984,2006,6,354.0,0.0,5.0,0.0,27.0,0.0,0.0,266.0,0.0,5.0,0.0,0.0,27.0,0.0,0.0,0.0,293.0,298.0,271.0,298.0,0.8277
Australia,1985,2006,6,277.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,215.0,215.0,215.0,0.7762
Australia,1986,2006,6,178.0,0.0,0.0,0.0,17.0,0.0,0.0,126.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,0.0,145.0,145.0,128.0,145.0,0.8146
Australia,1987,2006,6,202.0,0.0,0.0,0.0,85.0,0.0,0.0,128.0,0.0,2.0,0.0,0.0,85.0,0.0,0.0,0.0,215.0,215.0,130.0,215.0,1.0644
Australia,2017,2020,12,14.0,16.0,2.0,0.0,0.0,0.0,5.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,22.0,18.0,22.0,1.0
Australia,2018,2021,3,11.0,12.0,4.0,0.0,0.0,0.0,8.0,20.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,27.0,24.0,27.0,0.8182
Australia,2019,2022,4,9.0,13.0,3.0,0.0,0.0,0.0,15.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,24.0,24.0,24.0,1.2222
Australia,2020,2022,9,18.0,18.0,0.0,0.0,0.0,0.0,5.0,25.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,31.0,30.0,31.0,1.4444
Australia,2021,2023,4,19.0,20.0,1.0,0.0,0.0,0.0,5.0,30.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,36.0,35.0,36.0,1.5789
Australia,2022,2023,4,25.0,25.0,1.0,0.0,0.0,0.0,10.0,35.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,37.0,48.0,40.0,48.0,1.48
Austria,1972,2006,6,1.0,0.0,0.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,1.0,8.0,0.0,8.0,1.0
Austria,1973,2006,6,1.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,1.0,7.0,0.0,7.0,1.0
Austria,1974,2006,6,1.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,1.0,6.0,0.0,6.0,1.0
Austria,1975,2006,6,1.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,1.0,6.0,0.0,6.0,1.0
Austria,1976,2006,6,1.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,1.0,7.0,0.0,7.0,1.0
Austria,1977,2006,6,1.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,1.0,6.0,0.0,6.0,1.0
Austria,1978,2006,6,1.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,1.0,7.0,0.0,7.0,1.0
Austria,1979,2006,6,4.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,4.0,10.0,0.0,10.0,1.0
Austria,1980,2006,6,1.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,1.0,7.0,0.0,7.0,1.0
Austria,1981,2006,6,1.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,1.0,9.0,0.0,9.0,1.0
Austria,1982,2006,10,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0
Austria,1983,2006,10,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0
Austria,1984,2006,10,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,7.0,7.0,0.0
Austria,1985,2006,6,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,12.0,12.0,12.0,1.0
